fingerprint	kind	verdict	date	reason
02aa13c2bcf13bdf377be70ce722678f3d6c62dc	tool	consolidate	2026-09-03	`TTH264AccessUnit::isCutOutPoint() const` (avstream/tth264videoheader.h:204, always returns true) has zero callers anywhere in the tree; distinct from the unrel
02c2ffb31b7d55e0841fe19bf2d99f1753b91d33	clone	consolidate	2026-09-04	done 2026-09-04 batch D: identical H.264 Annex-B start-code scan (5-bit NAL type, &0x1F) at extern/ttessmartcut.cpp:1849-1861 (poc-lsb patch), :1976-1989-ish (patchFrameNumInAU), :4634-
02c8bac94d5e2b8ef270b2ad28e3e39ad7059c42	clone	deliberate	2026-09-12	ttsettings.cpp:638-641 (tail of the StreamPoints `beginGroup`/`settings.value`/`endGroup` block) vs :673-676 (Screenshot `beginGroup`/`settings.value`/`endGroup` block) — `load()`'s per-group read idiom, documented by th
03165caf7d75e1f9c1c1ad1f3d912553cee00191	tool	consolidate	2026-09-03	`TTVideoIndex(){};` (avstream/ttavheader.h:138) leaves all three members (`display_order`, `header_list_index`, `picture_coding_type`, avstream/ttavheader.h:148
034f6262eb53a415ff74ddd1dcbfe5182095c403	tool	consolidate	2026-09-04	done 2026-09-04 batch C: `int gopIndex() const { return mGopIndex; }` on `TTH265AccessUnit` (tth265videoheader.h:203) — grep across the repo finds no caller.
0356cafa08ec816cd950259dc47e9fc745f48d16	tool	consolidate	2026-09-03	TTAVHeader::TTAVHeader() assigns all 6 members in the body (avstream/ttavheader.cpp:54-59: str_description, str_mode, str_bit_rate, str_sample_rate, header_star
0389a5fd51eaea0b3f9d3d27dd4cf0e74cd5cd6c	clone	consolidate	2026-09-12	"`if (mLog.suppressed() > 0) summary += tr("" (%1 more events suppressed)"").arg(mLog.suppressed()); mLog.line(summary);` tail duplicated for the silence summary (79-83) and the audio-change summary (403-407); the same tail"
0395c915cd22b9f2602f7ac37b46bf150a774487	clone	deliberate	2026-09-13	"tth264videoheader.h:173-180 trivial getter/setter idiom on TTH264AccessUnit; ttmarkerlist.h:37-41 same accessor shape on TTMarkerItem; same idiom ruled deliberate in verdicts.tsv rows 004901af…, d2374808… (""trivial inlin"
03a47a570fe905367fac236fbf6c21baa9a8ffd0	clone	consolidate	2026-09-03	isFrameBlack/buildHistogram share the decode+sample skeleton; part of the wrapper split (report block 2)
03ac9bf89ad869fcc6ed3aadbfdb377f2656b8f6	clone	consolidate	2026-09-12	`TTMkvMergeProvider` setup (`setDefaultDuration`/`setVideoCodecId`/`setAudioSyncOffset`/`mux(...)`) duplicated in `createH264PreviewClip` and `regenerateSmartCutPreviewClip`; the same setup recurs at #48 and (cross-modul
03ca3c56beb952a5b1ac57749e63bec0e5056d8f	clone	consolidate	2026-09-12	done 2026-09-13 run 3 batches A-H (lines rewritten, see git log 5924340b..8788b25f); was: sub-fragment of the same SPS scaling-list duplicate as the `192-207`/`184-191` rows above (ttframeindexer.cpp:183-187 vs ttmkvmerg
03efe9bbd63e6085f152dd9b5945b6636e3c72ff	tool	deliberate	2026-09-03	false positive — called at gui/ttcutavcutdlg.cpp:68,197, data/ttcutprojectdata.cpp:838, data/ttavdata.cpp:2042,2190.
040b3e9f6f0d8971115599516c4d640c52f13166	tool	deliberate	2026-09-04	two well-commented, domain-driven branches — tailMode DPB/runway prefill (extern/ttessmartcut.cpp:2664-2681) vs normal-path DECODER_RUNWAY backup-one-keyframe h
042951513b8a674365def1e9f3aba05e2dd94016	clone	consolidate	2026-09-12	"done 2026-09-13 run 3 batches A-H (lines rewritten, see git log 5924340b..8788b25f); was: C5, profile/target populate family. | target/reach: same as ""clone x5 (327-337)""."
04992d29dab25572522716817b8be5d930a4381c	tool	deliberate	2026-09-03	TTStagePlan (common/ttprogressestimator.h:22-27) is a plain aggregate; all three of its real construction sites (data/ttavdata.cpp:1618,1861,2524-ish, e.g. `pla
04a67f1c3cbe95d7ff9bc2e09ca5a33b70381fe6	tool	deliberate	2026-09-04	data/ttavdata.cpp:1534-1539, `keepListSeconds()` sums `(second-first)` pairs in a 3-line loop; converting to std::accumulate needs a lambda and is not shorter o
04dd07f9c9702cddaf58aba9d1e340dddd49be63	convention	deliberate	2026-09-04	comment style, no structure; older forms remain in place per conventions.md
04e1099e2ebd037995ddbc065bdd8dfdf41c15a6	tool	deliberate	2026-09-04	writeMsg(QString msgString) (ttmessagelogger.cpp:314) follows the same class-wide by-value convention as the other four rows.
05372c052b2af7577398d6333f3cf6a25894a261	tool	consolidate	2026-09-04	done 2026-09-04 batch B: `quint64 progress = 0;` declared at the top of `copySegment()` (line 155); scope can be narrowed to the loop that uses it — mechanical, no semantic risk.
0587adbb715629b8e2a92300911430e2ebaf0f36	clone	deliberate	2026-09-13	onSearchBlackFrame and onSearchSceneChange construct two different task classes from the same source bundle; what they share is already directedSearchSource() + launchDirectedSearch() (run 3, 026aa9fb)
0614460ca2eb2f023986a9975b94c54a8d3cd0fe	tool	deliberate	2026-09-03	same reasoning as line 191 above — `$(build_tux_timeline_args 1920 1080 50)` word-splitting is intentional.
063188160f22e386fc5ee26d579b7d861fe98f3f	clone	deliberate	2026-09-12	"the ""`mSubWrappers[i]->decodeFrame(batch[i])` if a per-worker decoder exists, else `decodeFrameAt(batch[i])`"" ternary is exactly the documented Codec-variant dispatch (detection-and-search.md Varianten-Matrix: ""Paralleli"
0654a4db2cc7101321c5414c8ab82c2877fe1181	clone	consolidate	2026-09-05	done 2026-09-05 batch F (ttcut-demux helpers, e0a2d4d4): `progress_set $(( PROGRESS_REPAIR_END + (100 - PROGRESS_REPAIR_END) * N / 10 ))` (grep confirms 3 occurrences: :2438 N=5, :2774 N=8, :2820 N=9) duplicates exact
06602939f022e5fb88aa269823080f2ece496f63	tool	consolidate	2026-09-03	gui/ttcutmainwindow.cpp:1928-1937 only uses its parameters and `TTSettings::instance()`, no `this` access.
068091f205751a061305753c0ae1d6cfd473f44c	tool	consolidate	2026-09-03	verified — TTAVData::computeTargetAcmods(...) const (ttavdata.cpp:2852-2865+) only reads its parameters and calls the static TTFFmpegWrapper::analyzeAcmod, no `
06979d3b52402f2ce78bc34de1c354f0f1ea4b1f	tool	deliberate	2026-09-03	cppcheck false positive from single-TU analysis — `decodeMPEG2Frame` is called from gui/ttquickjumpworker.cpp:92 (`mpeg2Decoder->decodeMPEG2Frame(formatRGB32)`)
069b81cbf519430b8b4d6e1189430bb944474e92	tool	deliberate	2026-09-03	false positive — called at gui/ttcutsettingsnavigation.cpp:49 and gui/ttcutmainwindow.cpp:886; cppcheck's single-module/no-whole-program analysis misses cross-d
069ccc2bbefb0dee4d29576192e8e8d3a94e5b70	tool	consolidate	2026-09-03	base declares `virtual bool readHeader(TTFileBuffer*) = 0;` (avstream/ttmpeg2videoheader.h:58); TTPicturesHeader::readHeader (avstream/ttmpeg2videoheader.h:158-
06b20ecfb66c59b842536dc4b80f515de21bd7e2	tool	consolidate	2026-09-03	base TTAVTypes declares `virtual ~TTAVTypes()` (avstream/ttavtypes.h:51); ~TTAudioType is therefore a true (if implicit) override — purely missing the C++11 key
06c60913f8e86407e14bf52963787ba1ffc769ce	tool	deliberate	2026-09-03	called at data/tth26xcuttask.cpp:464 and data/ttavdata.cpp:2127 (`TTMkvMergeProvider::generateChapterFile(...)`) — genuinely used across TUs; cppcheck false pos
06cfef9f9a792a9a297e4ab2118216651a27dc6c	tool	consolidate	2026-09-03	`pocValue()` (tth265videoheader.h:205), its setter `setPocValue()` (tth265videoheader.h:217) and backing field `mPocValue` (tth265videoheader.h:230) have no cal
06e1f0a15dedd202abe4b1c1b061f9e192424df0	tool	consolidate	2026-09-04	done 2026-09-04 batch B: same as TTStreamNavigator above — legacy holdout against the established `explicit` convention used by 14+ other gui classes.
06ee695e167ab72ece56182e2d01a52aec5d924b	tool	deliberate	2026-09-03	plain keyframe scan loop; std::find_if would not read better
06f17fb577ee96fcf9c5a22cfb0ff04defebed2c	clone	consolidate	2026-09-03	same underlying probe_pts_extreme duplication as the 2036-2038/2045-2047/2050-2052 row (2036-2039 vs 2050-2053 window).
073142d981891ed57d7a235d434cc09308c1f94a	tool	consolidate	2026-09-04	done 2026-09-04 batch B: `int segmentWidth = 0;` (line 91) is only assigned and read inside the same `if` branch further down (lines 118-124) — the outer-scope declaration is unnecessar
073ca33f8e54a53226a710311272680410b84412	tool	consolidate	2026-09-03	"`-map 0:$idx` (ttcut-demux:2604, subtitle byte-probe) — $idx is numeric; quoting `0:""$idx""` is mechanical, no behavior change."
075d1ef69249f42b588da804a370cc053c5a7801	tool	consolidate	2026-09-04	done 2026-09-04 batch B: constructor (data/ttcutpreviewtask.cpp:55-60) does not initialize mpPreviewCutList; it is first set in operation() (data/ttcutpreviewtask.cpp:136), but the dest
07846ff11d61f70da269fb9491cfe374bd035070	clone	consolidate	2026-09-03	"data/ttcutprojectdata.cpp:522-530, :526-534, :545-553, :549-557 are sliding-window re-detections of the same ""createElement→appendChild→createTextNode"" field pa"
07f2df56a8bebae7c0469fc39f9a01fec4e1b1b4	tool	deliberate	2026-09-03	"accept_window_geometry.sh:238 `[ ""$n"" = ""0"" ] && ok ... || bad ...` — same idiom, same always-0 `ok`/`bad` (lines 39-40)."
081685217badcf37dbabcae8ccdc65e17b490236	tool	consolidate	2026-09-04	done 2026-09-04 batch C: `TTMarkerList* markerList() { return mpMarkerList; }` (data/ttavlist.h:138) has zero call sites codebase-wide (grepped all .cpp/.h); sibling `audioDataList()` I
081a8b707e382fdb0d73b94b657b84dd9db0e302	class-size	unsure	2026-09-03	no class named QFile is defined in this file; grep finds only 12 `QFile::` static call sites (QFile::remove/exists/rename) and 24 `TTMessageLogger::` out-of-lin
08269110a3a46be603e3b93196c22a351f804e56	tool	consolidate	2026-09-04	done 2026-09-04 batch B: `beginStage()`'s raw linear-search loop (ttprogressestimator.cpp:82-88) has no design reason to stay hand-rolled.
082947f86a55e503eccf03ef67876bf99f7b1421	tool	deliberate	2026-09-03	false positive — called at gui/ttcutsettingsencoder.cpp:233, gui/ttcutavcutdlg.cpp:176, gui/ttcutsettingsencoderdefaults.cpp:102.
084497bf5ae4edbc55d562a910b116fc67bb2178	tool	consolidate	2026-09-04	done 2026-09-04 batch C: zero call sites project-wide for setFrameFrom, and its siblings setFrameTo/setChannelMask (extern/ttaudiorepairitem.h:26-27) are equally unreferenced, while set
08a1bc50f8585e3f93a65014100ba2cf6b9811c9	tool	consolidate	2026-09-03	"acm-cut.sh:59 `echo ""a$s $(ffmpeg ... -map a:$s -c copy -f md5 - ...)""` — `a:$s` is unquoted inside the nested command substitution. Low risk in practice ($s is"
08c9f1e4f647a74c751c74eb09cdb396f8c7c926	class-size	deliberate	2026-09-03	"85 out-of-line methods / 3192 lines (also file-size row below), but docs/code-map/INDEX.md's ""audio-cut-timing.md"" entry records this centralization as an expli"
08f4313adb736b5fe10aa1bc6e866472bef52875	clone	consolidate	2026-09-12	done 2026-09-13 run 3 batches A-H (lines rewritten, see git log 5924340b..8788b25f); was: audio-file-delete loop vs subtitle-file-delete loop inside the same deleteElementaryStreams-equivalent function — candidate for th
0909d827f97ff8d69f39c71cecc0b6cd69b3c8f8	tool	unsure	2026-09-03	base is `virtual const QString& TTAVHeader::bitRateString()` (avstream/ttavheader.h:65) but TTAC3AudioHeader/TTMpegAudioHeader both redeclare `QString& bitRateS
09103fa7e3a2111a4bf53ebc3ef16f3ed9218644	tool	deliberate	2026-09-03	false positive — called at gui/ttcutavcutdlg.cpp:203,344 and data/ttcutprojectdata.cpp:839.
0917cdafe21b026f4149416e17e095960d532623	clone	consolidate	2026-09-05	done 2026-09-05 batch E4 (TTTrackTreeView): createActions() — verified TTVideoTreeView's createActions() (ttvideotreeview.cpp:275-288) is also structurally identical to Audio/Subtitle's 4-action set (same
092a376e9413f3b6a24a3b2e7f745fff503ebf01	tool	deliberate	2026-09-04	"`read -r ZS ZE VL AL < ""$Z""` (line 61) — `ZS` is a required positional placeholder for a 4-field `read`; VL/AL are asserted at lines 62-65. Standard shell idiom"
09722799e11c573e9b3c6d90d1c75b1899258c3d	tool	deliberate	2026-09-03	`void setPts(int64_t pts) { mPts = pts; }` (avstream/tth264videoheader.h:186) shadows the sibling getter `pts()` (avstream/tth264videoheader.h:184) — the common
0993f899ad16463710fabf18f6f8eb6eb22529f3	tool	deliberate	2026-09-04	`(char*)&cBuffer[...]` at line 405 matches the pervasive C-style-cast convention throughout this legacy file family (e.g. the same `(TTPicturesHeader*)` cast pa
09ac866ec68708dec525859b669fa97336794b89	clone	consolidate	2026-09-12	done 2026-09-13 run 3 batches A-H (lines rewritten, see git log 5924340b..8788b25f); was: same duplicate as above, high-profile chroma/bit-depth prefix of the scaling-list walk (ttframeindexer.cpp:184-191 vs ttmkvmergepr
09bae29ad7f5730e60c7214fdcb1728eed455e7f	tool	deliberate	2026-09-03	false positive — called at gui/ttcutsettingsstreampoints.cpp:119.
09ee9968b9262f28a3d569b31186aa3c57b80bbe	tool	consolidate	2026-09-04	done 2026-09-04 batch B: `QMenu* contextMenu;` is declared as a private member (ttaudiotreeview.h:65) but never initialized or referenced anywhere except being shadowed every call by th
0a1fdd0f2c47c84f2fa63a0e79d03340ac8c6f0d	clone	deliberate	2026-09-13	data/ttavdata.cpp:89-105, gui/ttcutframenavigation.cpp:113-145 — same connect(pbX, &QPushButton::clicked, this, &Class::onX) idiom, verified by direct inspection. Qt connect-wiring idiom per docs/conventions.md.
0a399eed337e72f4f60a345f56fbf90820367c66	tool	deliberate	2026-09-03	false positive — called at gui/ttcutmain.cpp:212 and 5 sites in gui/ttcutmainwindow.cpp (417,442,462,581,1683).
0a41c1af9938955d1385df85ffb52bfef193b2fc	tool	consolidate	2026-09-04	done 2026-09-04 batch C: `const QList<TTAccessUnit>& accessUnits() const` (ttnaluparser.h:218) has zero callers repo-wide (grep-verified, only the declaration itself matches).
0a4f4ffc539f320041b264a852082cfabececfe2	tool	consolidate	2026-09-13	done 2026-09-13 run 4 batches A-E (lines rewritten, see git log ed6939fe..0400b9a0); was: finding class (no this access) is mechanical; not re-read. | target: static TTCutMainWindow::formatRemaining. | reach: signature o
0a79778851c9c4c7de599513875b837629c77277	clone	deliberate	2026-09-04	this is the settings-tab `TTSettings* s = TTSettings::instance(); widget->setX(s->getX())` / `s->setX(widget->x())` binding pattern, the established architectur
0a810455a15682124bda1310353fdd29dd7b793b	tool	consolidate	2026-09-03	test_silence_unavailable.cpp:47-51 `anyContains()` is a 4-line raw for-loop equivalent to `std::any_of`; no design point at stake, purely mechanical.
0a921d30eb519f2c037ff46eb2ab29e1081e0b69	tool	deliberate	2026-09-03	accept_window_geometry.sh:39-40 defines `ok(){ echo ...; pass=$((pass+1)); }` / `bad(){ echo ...; fail=$((fail+1)); }` — both end in a plain variable assignment
0ab0d0efc3a1681dd43b3fc3f37d486f930a49b6	tool	deliberate	2026-09-04	399-line single-`main` diagnostic harness with ~15 sequential scenario blocks (see row 21); matches the whole tools/diag convention of one linear repro/assertio
0ac58664302844fb053b4fc027022d70e44ab76c	clone	deliberate	2026-09-04	`H264NalType`/`H264SliceType` (tth264videoheader.h:20-67) vs H.265's NAL/slice enums (tth265videoheader.h:43-60) — spec-mandated (ITU-T H.264/H.265) constant ta
0b3d65aaef8ca0d9165044b276ea577fec5ca5bf	tool	consolidate	2026-09-04	done 2026-09-04 batch B: `TTVideoHeader* newHeader;` declared at line 231, well before its first use inside the function body — cppcheck's scope-reduction suggestion is a safe, mechanic
0b45643663450d324db2e69e7a3663319c8ca461	convention	deliberate	2026-09-03	common/ttexception.h:1-102 uses plain `/* ... */` banner/section comments throughout, no mixing; consistent within itself. Legacy plain-comment style predating 
0b504b2cd2e0eb77961cd0c0f5b1b55d4ca2fc0c	tool	deliberate	2026-09-03	"accept_window_geometry.sh:187 `grep -q ""@ByteArray"" ""$CONF"" && bad ... || ok ...` — same idiom, same always-0 `ok`/`bad`."
0b57bf3f16ac173104587fdc6e598b8d4e58d18e	tool	consolidate	2026-09-03	verified — computeNCC(const QVector<float>& a, const QVector<float>& b) const (data/ttlogodetector.cpp:266-285ish) uses only its parameters, no `this`/member st
0b95e445775b2d09fb37a027ad73287e0002bfea	clone	consolidate	2026-09-12	done 2026-09-13 run 3 batches A-H (lines rewritten, see git log 5924340b..8788b25f); was: within the same function (`decodeFrameYUV`'s YUV420P fast path), the Y-plane tight-pack memcpy loop (764-767) and the U/V-plane me
0b9d1841ae8075b1cc6e6fb5190e16482238644f	tool	consolidate	2026-09-04	done 2026-09-04 batch B: base `TTAVStream::~TTAVStream()` (ttavstream.h:63) and `TTVideoStream::~TTVideoStream()` (line 136) are both `virtual`; `TTSubtitleStream::~TTSubtitleStream()` 
0bb7767b410d56449eefa584fcd2d93636126299	clone	deliberate	2026-09-12	`cutSubtitleTracks` declaration (ttavdata.h) vs definition (ttavdata.cpp) — required C++ signature repetition, not a duplication defect.
0c08f40ff7e4d11d584d45187095dfb815a2a683	clone	deliberate	2026-09-04	data/ttcutprojectdata.cpp:822-855, single linear `if (name==TAG) TTSettings::instance()->setX(value)` dispatcher inside one function (parseSettingsSection); eac
0c14b5e604514b18ed45ced813f29a878524a3be	clone	deliberate	2026-09-12	"legacy static-pixmap/resource setup idiom (same reasoning as ""222-227"" row); ttcutpreview.cpp:78-87 is its own player-setup ctor tail (A8, kept-separate territory)."
0c1798423fa0a637d6ab961b4fbe6391a7bae620	tool	deliberate	2026-09-03	extern/ttffmpegwrapper.cpp:2924 calls `adoptStreamMetadata(bundle.isPAFF, bundle.frameMbsOnlyFlag, bundle.log2MaxFrameNum)` — the function is used; cppcheck's s
0c195d4f602c2e9b7243c38378379a43925d2e85	tool	consolidate	2026-09-04	done 2026-09-04 batch B: `h264Stream` is only used via `->getSPS()` (a const accessor) for read-only width/height — never mutated.
0c1ec7077af948e5662b38ef0ba6e519768e0d35	tool	deliberate	2026-09-04	`if (!extras.isEmpty())` occurs at dump_mpeg2_fields.cpp:36, 55 and 75, each guarding a separate, independently-commented output section (summary stats / machin
0c1f976619b3ccd7613c68b5c49a26cdc28af7f1	tool	deliberate	2026-09-04	`class QuickTask : public TTThreadTask` is a private, file-local test-helper class (anonymous scope) whose public fields (`operationReturned`, `cleanUpCalls`, `
0c22a8d9cd06093f1800e6ba84c734cf3e642198	tool	consolidate	2026-09-04	same function as the method-size finding above; same fix (extract openAudioDecoder()/buildSilenceDetectFilter()) directly reduces the branch/nesting count drivi
0c327d32cb5e1770481c46ceeb7c0eb5f6612798	tool	deliberate	2026-09-04	gate_audiofix.sh's own `ok`/`bad` helpers follow the identical always-0-return pattern (echo + counter assignment) as accept_window_geometry.sh; same provably-s
0c32c7a091c14dfae6c0f3e33a46a2b74237b7bf	tool	consolidate	2026-09-04	done 2026-09-04 batch B: data/ttframesearchtask.cpp:92-93, `TTH26xVideoStream* h26x = dynamic_cast<...>(mpReferenceStream)` used only to call the (const-compatible) frameIndexBundle() r
0c6f30e65fe61d64355b8219743df089d4f1b4bb	tool	consolidate	2026-09-03	same struct/finding as the row above (`width` and `height` are adjacent fields in the same uninitialized struct).
0c8e6963053fb71f091e1d1a8c2203a12d1cced6	tool	deliberate	2026-09-03	same function and same reasoning as the TTAVData::onCutFinished method-size row above — progress-reporting.md ties its abort/mplex/operation-bracket ordering sp
0cb085fcf3bfd2aa182394c89a4506f2d38ed687	method-size	consolidate	2026-09-04	229-line linear sequence of 16 numbered, self-contained `{ }`-scoped screenshot steps (project load/wait, 5 fixed-widget captures, stream-point analysis+wait, 7
0cbf75ca06c50bc4ff0bc52abedb60b00a6df4cd	tool	deliberate	2026-09-03	same reasoning as line 394 above (`$(build_duplicate_timeline_args 720 576 25)`).
0cc35d93b8a0b33ea022f220b600a39b240d73fc	tool	consolidate	2026-09-03	extern/ttffmpegwrapper.h:69-77 — `TTFrameInfo` is a plain struct with no constructor; `packetSize` (and most fields) have no default member initializer (only `d
0ccbbd7df1188f4b123af0650a14c4869871efc8	convention	deliberate	2026-09-03	test_mpeg2_seek.cpp:1-7 carries the SPDX/original-TTCut header block, and its body is consistently 4-space indented (e.g. line 49); same legacy-convention class
0d0a0f003829fb05133b1f77ac7020c8f74da29e	clone	deliberate	2026-09-03	"ttcut-demux:1172-1174 `find ""$INPUT_DIR"" -maxdepth 1 -name ""$VDR_PATTERN"" -print0 | sort -z` piped into `while IFS= read -r -d ''` is the standard VDR-segment-e"
0d1897898c6366351537bd5536c330b130abf014	tool	consolidate	2026-09-03	ttmpeg2window2.cpp:366 `if (TTH26xVideoStream* h26x = dynamic_cast<TTH26xVideoStream*>(vStream))`; only member called on it is `provideFrameIndexTo`, declared `
0d33ac4e9644f77c8f1d57902797699e7151946a	tool	deliberate	2026-09-03	same reasoning as line 394 above (`$(build_duplicate_timeline_args 1920 1080 25)`).
0d4a83ebf58ec151137772af2c92a45ed7bf3465	tool	consolidate	2026-09-04	done 2026-09-04 batch B: constructor (lines 44-48) sets `str_description`/`str_mode` but not `acmod`; `acmod` is later used as an array index (`AC3Mode[acmod]`, `AC3AudioCodingMode[acmo
0d50a9a3227c77ee0d943cfc45ca1f15a45fc802	tool	deliberate	2026-09-04	`sawMuxStage` is set true at test_partial_track.cpp:112 inside a Qt signal-handler lambda invoked asynchronously during `qApp->exec()`, then checked at lines 15
0d87028dae34ae8f43e34b913064fa2a754c71d9	tool	deliberate	2026-09-04	per-track drain loop with early returns, different algorithm from mux(); no clean target
0dd269d31b08921e728042345640edd6040c7651	clone	consolidate	2026-09-12	"done 2026-09-13 run 3 batches A-H (lines rewritten, see git log 5924340b..8788b25f); was: ""Defekt: …""/""Audio-Gap: …"" description-building lines — part of the #33 cluster-building family. | target/reach: same as #33."
0ddabe70ece9e42ea8023f934e35e01ad275c059	clone	consolidate	2026-09-12	"done 2026-09-13 run 3 batches A-H (lines rewritten, see git log 5924340b..8788b25f); was: C5, populateMuxerProg vs populateH264Profiles-style populate idiom, part of the same family. | target/reach: same as ""clone x5 (32"
0ddaf2c35ca003873591f10cecb4bd622e4481d6	clone	deliberate	2026-09-12	boundary of `updateQualityUI`'s tail and `setTabData`/`getTabData` — mixed with the getter/setter (C4) idiom rather than a clean third repetition of the case-block triplication already covered.
0de1ec07ad7d314efe577559cad9f4f69658a903	tool	consolidate	2026-09-04	done 2026-09-04 batch B: data/ttstreampoint_audioworker.cpp:321, `AVDictionaryEntry* durTag = av_dict_get(...)` only read (->value), never mutated
0de6c08ff6301e1e2757e1ebb7b99f1db3e8fc72	tool	consolidate	2026-09-04	done 2026-09-04 batch B: base `TTAVHeader` already declares `TTMessageLogger* log;` (ttavheader.h:82); `TTMpegAudioHeader`'s own copy (ttmpegaudioheader.h:124) is never referenced anywh
